FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
364025|Puu Ohohia|Summit|HI|15|Hawaii|001|191059N|1554543W|19.1829488|-155.7618427|||||1681|5515|Papa|02/06/1981|03/11/2013
364026|Puu Ohu|Summit|HI|15|Hawaii|001|200242N|1554008W|20.0450464|-155.668931|||||1198|3930|Kamuela|02/06/1981|03/11/2013
364027|Puʻuʻōhulehule|Summit|HI|15|Honolulu|003|213045N|1575231W|21.5125502|-157.8753805|||||686|2251|Kahana|09/30/2003|10/31/2012
364028|Puʻuōlaʻi|Summit|HI|15|Maui|009|203811N|1562655W|20.6362984|-156.4486384|||||0|0|Makena|02/06/1981|11/05/2012
364029|Puʻuōlaʻi|Summit|HI|15|Maui|009|205837N|1563204W|20.97691|-156.53445|||||297|974|Kahakuloa|02/06/1981|11/05/2012
364030|Puʻuʻōlelo|Summit|HI|15|Maui|009|205807N|1563307W|20.968653|-156.5519142|||||424|1391|Kahakuloa|02/06/1981|11/05/2012
364031|Puʻuʻōlelo|Summit|HI|15|Maui|009|211000N|1565904W|21.1666439|-156.9843721|||||644|2113|Kaunakakai|09/30/2003|08/12/2012
364032|Puʻuʻoli|Summit|HI|15|Maui|009|210852N|1565918W|21.1476732|-156.9884062|||||542|1778|Kaunakakai|09/30/2003|08/12/2012
364033|Puʻuone|Summit|HI|15|Hawaii|001|190936N|1553538W|19.1599247|-155.5938292|||||977|3205|Punaluu|09/30/2003|03/07/2013
364034|Puʻuonepohue|Summit|HI|15|Maui|009|204926N|1561751W|20.8239184|-156.2975121|||||821|2694|Kilohana|09/30/2003|09/17/2012
364035|Puu Oo|Summit|HI|15|Hawaii|001|200816N|1554724W|20.1379062|-155.7899952|||||955|3133|Hawi|02/06/1981|03/13/2013
364036|Puʻuʻōʻō|Summit|HI|15|Hawaii|001|194344N|1552337W|19.7288568|-155.3935432|||||2108|6916|Puuoo|09/30/2003|03/07/2013
364037|Puu Oo|Summit|HI|15|Hawaii|001|194714N|1555944W|19.7871783|-155.9956455|||||159|522|Kiholo|02/06/1981|03/13/2013
364038|Puʻuʻōʻō Ranch|Locale|HI|15|Hawaii|001|194338N|1552325W|19.7272222|-155.3902778|||||2024|6640|Puuoo|09/30/2003|
364039|Puʻu Oo Horse Trail|Trail|HI|15|Hawaii|001|194414N|1552257W|19.7372222|-155.3825|||||2011|6598|Puuoo|09/30/2003|
364040|Puʻu Oo Volcano Trail|Trail|HI|15|Hawaii|001|193820N|1552202W|19.6388889|-155.3672222|||||1756|5761|Waikoloa Ponds|02/06/1981|
364041|Puʻuʻōpae|Summit|HI|15|Kauai|007|220456N|1592346W|22.0822222|-159.3961111|||||219|718|Kapaa|09/30/2003|08/19/2009
