FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1610130|Colegio Santa María de Los Angeles|School|PR|72|San Juan|127|182348N|0660511W|18.3966152|-66.0862772|||||13|43|San Juan|02/13/1981|
1610131|Colegio Santos Ángeles Custodios|School|PR|72|San Juan|127|182458N|0660209W|18.4160582|-66.0357212|||||4|13|San Juan|02/13/1981|
1610132|Colegio Señora de La Providencia|School|PR|72|San Juan|127|182318N|0660536W|18.3882823|-66.0932217|||||38|125|San Juan|02/13/1981|
1610133|Colegio Vedruna|School|PR|72|San Juan|127|182208N|0660505W|18.3688385|-66.0846106|||||64|210|Aguas Buenas|02/13/1981|
1610134|Colinas de la Parguera|Populated Place|PR|72|Lajas|079|175838N|0670330W|17.9771875|-67.0582333|||||22|72|Parguera|02/13/1981|
1610135|College Park|Populated Place|PR|72|San Juan|127|182300N|0660517W|18.3832824|-66.0879439|||||30|98|San Juan|02/13/1981|
1610136|Collores|Populated Place|PR|72|Juana Díaz|075|180532N|0663230W|18.0921839|-66.5415612|||||174|571|Ponce|02/13/1981|
1610137|Collores|Populated Place|PR|72|Jayuya|073|181154N|0663720W|18.1982904|-66.6221176|||||399|1309|Jayuya|02/13/1981|
1610138|Coloso|Populated Place|PR|72|Aguada|003|182255N|0670937W|18.3818915|-67.1601808|||||5|16|Aguadilla|02/13/1981|
1610139|Columbia|Populated Place|PR|72|Maunabo|095|180016N|0655424W|18.0044108|-65.9065512|||||7|23|Yabucoa|02/13/1981|
1610140|Combate|Populated Place|PR|72|Vega Baja|145|182547N|0662552W|18.4296694|-66.4310039|||||75|246|Manati|02/13/1981|
1610141|Comerío|Populated Place|PR|72|Comerío|045|181305N|0661334W|18.2180119|-66.2260012|||||197|646|Comerio|02/13/1981|04/21/2008
1610142|Cometa|Populated Place|PR|72|Humacao|069|180834N|0654944W|18.1427386|-65.8287736|||||19|62|Humacao|02/13/1981|
1610143|Comunas|Populated Place|PR|72|Yabucoa|151|180514N|0655038W|18.0871855|-65.8437732|||||52|171|Punta Guayanes|02/13/1981|04/21/2008
1610144|Concordia|Populated Place|PR|72|Arroyo|015|175847N|0660213W|17.9796889|-66.0368308|||||7|23|Guayama|02/13/1981|
1610145|Condado|Populated Place|PR|72|San Juan|127|182716N|0660415W|18.4543898|-66.0707214|||||3|10|San Juan|02/13/1981|
1610146|Conde Ávila|Populated Place|PR|72|Cabo Rojo|023|180658N|0671014W|18.1160696|-67.1704575|||||4|13|Puerto Real|02/13/1981|
1610147|Candelaria|Populated Place|PR|72|Mayagüez|097|181145N|0670914W|18.1957882|-67.1537907|||||1|3|Mayaguez|02/13/1981|07/15/2015
1610148|Constancia|Populated Place|PR|72|Ponce|113|180017N|0663558W|18.0046882|-66.5993392|||||13|43|Ponce|02/13/1981|
1610149|Consumo|Populated Place|PR|72|Mayagüez|097|181232N|0670156W|18.2088441|-67.0321232|||||393|1289|Rosario|02/13/1981|
1610150|Convento Nuestra Señora de Fátima|Locale|PR|72|Guánica|055|180026N|0665301W|18.0071873|-66.8835094|||||23|75|Sabana Grande|02/13/1981|
1610151|Coquí|Populated Place|PR|72|Salinas|123|175827N|0661338W|17.9741328|-66.2271118|||||7|23|Central Aguirre|02/13/1981|04/21/2008
1610152|Corazón|Populated Place|PR|72|Guayama|057|175934N|0660506W|17.9927436|-66.0848873|||||69|226|Guayama|02/13/1981|04/21/2008
1610153|Córcega|Populated Place|PR|72|Rincón|117|181904N|0671433W|18.3177264|-67.242403|||||1|3|Rincon|02/13/1981|
1610154|Corcovado|Populated Place|PR|72|Hatillo|065|182731N|0664635W|18.4585569|-66.7762868|||||82|269|Camuy|02/13/1981|04/21/2008
1610155|Cordillera Central|Range|PR|72|Jayuya|073|180953N|0663459W|18.164681|-66.5829504|||||1070|3510|Jayuya|02/13/1981|
1610156|Cordillera Sabana Alta|Range|PR|72|Cabo Rojo|023|180723N|0670859W|18.1230137|-67.1496239|||||94|308|Mayaguez|02/13/1981|
1610157|Córdova Dávila|Populated Place|PR|72|Manatí|091|182545N|0662858W|18.4291138|-66.4826713|||||36|118|Manati|02/13/1981|
1610158|Cornelia|Populated Place|PR|72|Cabo Rojo|023|180906N|0671012W|18.1516235|-67.1699022|||||14|46|Mayaguez|02/13/1981|
1610159|Corona La Laja|Bar|PR|72|Guánica|055|175613N|0665356W|17.9369123|-66.8987867|||||0|0|Guanica|02/13/1981|
1610160|Corozal|Populated Place|PR|72|Adjuntas|001|180449N|0664221W|18.0802396|-66.7057298|||||190|623|Penuelas|02/13/1981|
1610161|Corozal|Populated Place|PR|72|Corozal|047|182028N|0661901W|18.3410622|-66.3168357|||||93|305|Corozal|02/13/1981|04/21/2008
1610162|Corozo|Populated Place|PR|72|Cabo Rojo|023|175855N|0671104W|17.9819088|-67.1843459|||||14|46|Cabo Rojo|02/13/1981|
1610163|Corral Viejo|Populated Place|PR|72|Ponce|113|180448N|0663911W|18.0799621|-66.6529511|||||166|545|Penuelas|02/13/1981|01/29/2011
1610164|Corrales|Populated Place|PR|72|Aguadilla|005|182646N|0670649W|18.446056|-67.1135142|||||148|486|Moca|02/13/1981|
1610165|Correo Palo Hincaco|Building|PR|72|Barranquitas|019|181119N|0662050W|18.1885688|-66.3471141|||||648|2126|Barranquitas|02/13/1981|
1610166|Coto|Populated Place|PR|72|San Germán|125|180548N|0670302W|18.0966266|-67.0504565|||||35|115|San German|02/13/1981|
1610167|Coto Laurel|Populated Place|PR|72|Ponce|113|180259N|0663305W|18.0496857|-66.5512835|||||69|226|Ponce|02/13/1981|04/21/2008
1610168|Coto Norte|Populated Place|PR|72|Vega Baja|145|182551N|0662624W|18.4307804|-66.4398929|||||79|259|Manati|02/13/1981|04/21/2008
1610170|Coto Sur|Populated Place|PR|72|Manatí|091|182508N|0662750W|18.4188364|-66.4637821|||||90|295|Manati|02/13/1981|
1610171|Country Club|Populated Place|PR|72|San Juan|127|182410N|0660016W|18.4027254|-66.0043322|||||12|39|San Juan|02/13/1981|
1610172|Cristina|Populated Place|PR|72|Juana Díaz|075|180255N|0663000W|18.0485741|-66.4998945|||||70|230|Ponce|02/13/1981|
1610173|Cruce Dávila|Populated Place|PR|72|Barceloneta|017|182551N|0663356W|18.4307801|-66.5654503|||||79|259|Barceloneta|02/13/1981|
1610174|Cruce Magueyes|Populated Place|PR|72|Barceloneta|017|182505N|0663417W|18.4180027|-66.5712837|||||122|400|Barceloneta|02/13/1981|
1610175|Cuarta de Tierra|Populated Place|PR|72|Ponce|113|180030N|0663217W|18.0082982|-66.5379497|||||13|43|Ponce|02/13/1981|
1610176|Cuatro Calles|Populated Place|PR|72|Cabo Rojo|023|180135N|0670821W|18.0263513|-67.1390675|||||23|75|Puerto Real|02/13/1981|
1610177|Cuatro Calles|Populated Place|PR|72|Ponce|113|180026N|0663605W|18.007188|-66.6012837|||||13|43|Ponce|02/13/1981|
1610178|Cuatro Calles|Populated Place|PR|72|Juana Díaz|075|180235N|0662731W|18.0430189|-66.4585047|||||82|269|Rio Descalabrado|02/13/1981|
1610179|Cuatro Calles|Populated Place|PR|72|Hatillo|065|182544N|0664743W|18.4288358|-66.7951759|||||126|413|Camuy|02/13/1981|
1610180|Cuatro Caminos|Populated Place|PR|72|Cabo Rojo|023|180246N|0670852W|18.0460727|-67.147679|||||34|112|Puerto Real|02/13/1981|
1610181|Cuba|Populated Place|PR|72|Moca|099|182331N|0670618W|18.3918911|-67.1049021|||||45|148|Moca|02/13/1981|
1610182|Cucharillas|Populated Place|PR|72|Cataño|033|182608N|0660914W|18.435502|-66.1537778|||||3|10|Bayamon|02/13/1981|
1610183|Cuchilla de Monte Llano|Ridge|PR|72|Ponce|113|180553N|0663659W|18.098017|-66.6162841|||||509|1670|Ponce|02/13/1981|
1610184|Cuchilla de Juan González|Ridge|PR|72|Adjuntas|001|180949N|0664152W|18.1636357|-66.6976479|||||979|3212|Adjuntas|02/13/1981|12/09/2016
1610185|Cuchilla de Panduras|Ridge|PR|72|Yabucoa|151|180213N|0655559W|18.0369094|-65.9329407|||||449|1473|Yabucoa|02/13/1981|
1610186|Cuchila el Asomante|Ridge|PR|72|Juncos|077|181541N|0655327W|18.2613433|-65.8907192|||||528|1732|Gurabo|02/13/1981|
1610187|Cuchilla Los Matos|Ridge|PR|72|Hormigueros|067|180938N|0670644W|18.1605124|-67.1121241|||||144|472|Rosario|02/13/1981|
1610188|Cuchilla Ranchera|Ridge|PR|72|Yauco|153|180632N|0665353W|18.1088492|-66.8979545|||||528|1732|Sabana Grande|02/13/1981|
1610189|Cuchillas Aceitunas|Ridge|PR|72|Maricao|093|181011N|0670133W|18.1696792|-67.0257343|||||432|1417|Rosario|02/13/1981|
1610190|Cuebas|Populated Place|PR|72|Peñuelas|111|180245N|0664239W|18.0457967|-66.7107299|||||76|249|Penuelas|02/13/1981|
1610191|Cuesta de la Yuca|Summit|PR|72|Moca|099|181855N|0670245W|18.3152283|-67.0457345|||||216|709|Central La Plata|02/13/1981|
1610192|Cuesta de las Piedras|Populated Place|PR|72|Mayagüez|097|181059N|0670835W|18.1830111|-67.1429573|||||16|52|Mayaguez|02/13/1981|
1610193|Cueva de la Julia|Bay|PR|72|Guánica|055|175747N|0665538W|17.9630223|-66.9271204|||||0|0|Guanica|02/13/1981|
1610197|Culebra|Populated Place|PR|72|Culebra|049|181811N|0651804W|18.3030119|-65.3009914|||||3|10|Culebra|02/13/1981|08/05/2011
1610198|Daguao|Populated Place|PR|72|Naguabo|103|181335N|0654100W|18.2263463|-65.6832172|||||27|89|Naguabo|02/13/1981|04/21/2008
1610199|De Diego|Populated Place|PR|72|San Juan|127|182239N|0660412W|18.377449|-66.0698882|||||35|115|San Juan|02/13/1981|
1610200|Delicias|Populated Place|PR|72|Cabo Rojo|023|180611N|0670921W|18.1030146|-67.155735|||||18|59|Puerto Real|02/13/1981|
1610201|Descalabrado|Populated Place|PR|72|Santa Isabel|133|180023N|0662605W|18.0063534|-66.4346151|||||17|56|Rio Descalabrado|02/13/1981|
1610202|Desembarcádero Mosquito|Locale|PR|72|Vieques|147|180757N|0653042W|18.1324626|-65.5115484|||||3|10|Punta Puerca|02/13/1981|
1610203|Desvío Dolores|Populated Place|PR|72|Río Grande|119|182300N|0655122W|18.3832823|-65.8559973|||||7|23|Rio Grande|02/13/1981|
1610204|Divisoria|Populated Place|PR|72|Orocovis|107|180943N|0663038W|18.1619032|-66.5104498|||||835|2739|Jayuya|02/13/1981|
1610205|Domingo Ruíz|Populated Place|PR|72|Arecibo|013|182644N|0664055W|18.4455017|-66.6818414|||||3|10|Arecibo|02/13/1981|
1610206|Dominguito|Populated Place|PR|72|Arecibo|013|182516N|0664453W|18.4210584|-66.7479532|||||143|469|Arecibo|02/13/1981|
1610207|Quebrada Doña Ana|Valley|PR|72|San Juan|127|182416N|0660434W|18.404524|-66.0760939|182318N|0660539W|18.3882515|-66.0942367|3|10|San Juan|02/13/1981|03/10/2017
1610208|Dorado|Populated Place|PR|72|Dorado|051|182732N|0661604W|18.4588347|-66.2676683|||||3|10|Vega Alta|02/13/1981|04/21/2008
1610209|Dos Bocas|Populated Place|PR|72|Utuado|141|182017N|0664015W|18.338006|-66.6707296|||||122|400|Utuado|02/13/1981|
1610210|Dos Pinos|Populated Place|PR|72|San Juan|127|182417N|0660218W|18.4046699|-66.0382212|||||13|43|San Juan|02/13/1981|
1610211|Duque|Populated Place|PR|72|Naguabo|103|181422N|0654502W|18.2394011|-65.7504401|||||170|558|Humacao|02/13/1981|04/21/2008
1610212|El Alto|Ridge|PR|72|Utuado|141|181701N|0664329W|18.2835642|-66.724619|||||428|1404|Utuado|02/13/1981|
1610213|El Alto|Populated Place|PR|72|Manatí|091|182808N|0662926W|18.4688343|-66.4904491|||||43|141|Manati|02/13/1981|
1610214|El Banco|Populated Place|PR|72|Naguabo|103|181403N|0654204W|18.2341238|-65.700995|||||20|66|Naguabo|02/13/1981|
1610215|El Boquerón|Bay|PR|72|San Juan|127|182743N|0660504W|18.4618896|-66.0843326|||||0|0|San Juan|02/13/1981|
1610216|El Bronce|Populated Place|PR|72|Ponce|113|180201N|0663443W|18.0335755|-66.5785059|||||71|233|Ponce|02/13/1981|
1610217|El Brujo|Populated Place|PR|72|Cabo Rojo|023|180259N|0670651W|18.049684|-67.1140676|||||63|207|San German|02/13/1981|
1610218|El Cachete|Populated Place|PR|72|Barceloneta|017|182544N|0663141W|18.4288359|-66.5279497|||||10|33|Barceloneta|02/13/1981|
1610219|El Cacique|Summit|PR|72|Río Grande|119|181721N|0654918W|18.2891204|-65.8215521|||||1019|3343|El Yunque|02/13/1981|
1610220|El Cantito|Populated Place|PR|72|Manatí|091|182657N|0663042W|18.4490388|-66.5117025|||||13|43|Barceloneta|02/13/1981|03/21/2013
1610221|El Centro|Summit|PR|72|Quebradillas|115|182701N|0665722W|18.4502228|-66.9560118|||||196|643|Quebradillas|02/13/1981|
1610222|El Cerro|Populated Place|PR|72|Cabo Rojo|023|180321N|0671058W|18.0557943|-67.1826797|||||46|151|Puerto Real|02/13/1981|
1610223|El Cerro Avispa|Summit|PR|72|San Germán|125|180925N|0670152W|18.1569019|-67.0310123|||||501|1644|Rosario|02/13/1981|
1610224|El Chino|Populated Place|PR|72|Guayama|057|180257N|0660548W|18.0491302|-66.0965543|||||578|1896|Patillas|02/13/1981|
1610225|El Chorro|Gut|PR|72|Loíza|087|182618N|0655241W|18.4382795|-65.8779422|||||0|0|Carolina|02/13/1981|
1610226|El Cinco|Populated Place|PR|72|Hormigueros|067|180816N|0670716W|18.1377355|-67.1210129|||||19|62|Rosario|02/13/1981|
1610227|El Cinco|Populated Place|PR|72|Caguas|025|181229N|0660022W|18.208012|-66.005998|||||119|390|Caguas|02/13/1981|
1610228|El Comandante|Populated Place|PR|72|Carolina|031|182405N|0655931W|18.4013365|-65.9918321|||||10|33|Carolina|02/13/1981|
1610229|El Combate|Populated Place|PR|72|Cabo Rojo|023|175842N|0671244W|17.9782977|-67.2121242|||||6|20|Cabo Rojo|02/13/1981|01/29/2011
1610230|El Comeijén|Summit|PR|72|Sabana Grande|121|180722N|0665808W|18.1227371|-66.9687887|||||496|1627|Sabana Grande|02/13/1981|
1610231|El Condado|Populated Place|PR|72|Caguas|025|181412N|0660218W|18.2366216|-66.0382209|||||60|197|Caguas|02/13/1981|
